iter	Passed	Remaining
0	0	995
1	1	953
2	2	957
3	3	945
4	4	922
5	5	885
6	6	866
7	6	848
8	7	825
9	8	808
10	8	792
11	9	781
12	10	764
13	10	756
14	11	747
15	11	737
16	12	730
17	13	722
18	13	712
19	14	704
20	15	700
21	15	694
22	16	689
23	16	683
24	17	682
25	18	679
26	18	676
27	19	671
28	19	667
29	20	665
30	21	662
31	21	660
32	22	658
33	23	656
34	23	652
35	24	649
36	24	646
37	25	643
38	26	641
39	26	639
40	27	637
41	27	636
42	28	634
43	29	632
44	29	631
45	30	630
46	30	628
47	31	628
48	32	627
49	32	626
50	33	625
51	34	623
52	34	621
53	35	620
54	35	617
55	36	616
56	37	616
57	37	615
58	38	614
59	39	613
60	39	612
61	40	611
62	41	610
63	41	609
64	42	607
65	42	606
66	43	605
67	43	600
68	44	599
69	45	598
70	45	598
71	46	597
72	46	595
73	47	594
74	48	593
75	48	591
76	49	590
77	49	589
78	50	588
79	51	587
80	51	586
81	52	585
82	52	584
83	53	583
84	53	580
85	54	580
86	54	576
87	55	576
88	56	575
89	56	574
90	57	574
91	58	573
92	58	572
93	59	571
94	59	571
95	60	570
96	61	569
97	61	568
98	62	567
99	62	566
100	63	565
101	63	562
102	64	562
103	65	561
104	65	560
105	66	559
106	67	559
107	67	558
108	68	558
109	68	557
110	69	556
111	70	555
112	70	554
113	71	554
114	71	553
115	72	551
116	73	550
117	73	550
118	74	549
119	74	548
120	75	547
121	76	546
122	76	544
123	76	543
124	77	542
125	78	542
126	78	541
127	79	539
128	79	538
129	80	537
130	80	537
131	81	536
132	82	535
133	82	534
134	83	534
135	83	533
136	84	532
137	85	531
138	85	530
139	86	530
140	86	529
141	87	529
142	88	528
143	88	528
144	89	527
145	90	526
146	90	526
147	91	525
148	91	524
149	92	523
150	92	522
151	93	522
152	94	521
153	94	520
154	95	519
155	96	519
156	96	518
157	97	518
158	97	517
159	98	516
160	98	515
161	99	515
162	100	514
163	100	513
164	101	513
165	102	512
166	102	512
167	103	511
168	103	510
169	104	509
170	105	509
171	105	508
172	106	508
173	106	507
174	107	506
175	108	506
176	108	505
177	109	504
178	109	503
179	110	503
180	110	501
181	111	500
182	111	499
183	112	498
184	113	498
185	113	497
186	114	497
187	114	496
188	115	496
189	116	495
190	116	495
191	117	494
192	118	494
193	118	493
194	119	493
195	120	492
196	120	492
197	121	492
198	122	491
199	122	491
200	123	490
201	124	490
202	124	489
203	125	489
204	126	488
205	126	488
206	127	487
207	127	487
208	128	486
209	129	486
210	129	485
211	130	484
212	131	484
213	131	483
214	132	482
215	132	482
216	133	481
217	134	480
218	134	480
219	135	479
220	135	478
221	136	478
222	137	477
223	137	476
224	138	476
225	138	475
226	139	474
227	139	473
228	140	473
229	141	472
230	141	472
231	142	471
232	143	470
233	143	470
234	144	469
235	144	468
236	145	467
237	145	467
238	146	466
239	147	466
240	147	465
241	148	464
242	148	464
243	149	463
244	150	462
245	150	462
246	151	461
247	151	460
248	152	459
249	153	459
250	153	458
251	154	457
252	154	457
253	155	456
254	156	455
255	156	455
256	157	454
257	157	454
258	158	453
259	159	452
260	159	452
261	160	451
262	160	450
263	161	450
264	162	449
265	162	449
266	163	448
267	163	447
268	164	446
269	165	446
270	165	445
271	166	444
272	166	444
273	167	443
274	167	442
275	168	441
276	169	441
277	169	440
278	170	440
279	170	439
280	171	439
281	172	438
282	172	437
283	173	437
284	173	436
285	174	435
286	175	435
287	175	434
288	176	433
289	176	433
290	177	432
291	178	432
292	178	431
293	179	430
294	179	430
295	180	429
296	181	428
297	181	428
298	182	427
299	182	426
300	183	426
301	184	425
302	184	425
303	185	424
304	185	423
305	186	423
306	187	422
307	187	421
308	188	421
309	188	420
310	189	419
311	190	419
312	190	418
313	191	417
314	191	417
315	192	416
316	193	416
317	193	415
318	194	414
319	194	414
320	195	413
321	196	412
322	196	412
323	197	411
324	197	410
325	198	410
326	199	409
327	199	409
328	200	408
329	200	407
330	201	407
331	201	406
332	202	405
333	203	405
334	203	404
335	204	403
336	204	403
337	205	402
338	206	401
339	206	401
340	207	400
341	207	399
342	208	399
343	209	398
344	209	397
345	210	397
346	210	396
347	211	396
348	211	395
349	212	394
350	213	394
351	213	393
352	214	392
353	214	392
354	215	391
355	216	390
356	216	390
357	217	389
358	217	389
359	218	388
360	219	387
361	219	387
362	220	386
363	220	385
364	221	385
365	222	384
366	222	384
367	223	383
368	223	382
369	224	382
370	225	381
371	225	381
372	226	380
373	227	379
374	227	379
375	228	378
376	228	378
377	229	377
378	230	376
379	230	376
380	231	375
381	231	374
382	232	374
383	232	373
384	233	372
385	234	372
386	234	371
387	235	370
388	235	370
389	236	369
390	236	369
391	237	368
392	238	367
393	238	367
394	239	366
395	239	366
396	240	365
397	241	364
398	241	364
399	242	363
400	243	363
401	243	362
402	244	362
403	245	361
404	245	361
405	246	360
406	246	359
407	247	359
408	248	358
409	248	357
410	249	357
411	249	356
412	250	355
413	251	355
414	251	354
415	252	354
416	252	353
417	253	352
418	254	352
419	254	351
420	255	351
421	255	350
422	256	349
423	257	349
424	257	348
425	258	348
426	259	347
427	259	347
428	260	346
429	260	345
430	261	345
431	262	344
432	263	344
433	264	344
434	265	344
435	266	344
436	267	344
437	267	343
438	268	343
439	269	342
440	270	342
441	270	341
442	271	341
443	272	340
444	272	340
445	273	339
446	274	339
447	274	338
448	275	338
449	276	337
450	276	336
451	277	336
452	278	335
453	278	335
454	279	334
455	279	333
456	280	333
457	280	332
458	281	331
459	282	331
460	282	330
461	283	330
462	284	329
463	284	329
464	285	328
465	286	327
466	286	327
467	287	326
468	288	326
469	288	325
470	289	325
471	290	324
472	290	324
473	291	323
474	292	322
475	292	322
476	293	321
477	294	321
478	294	320
479	295	320
480	296	319
481	296	318
482	297	318
483	297	317
484	298	317
485	299	316
486	299	315
487	300	315
488	300	314
489	301	313
490	302	313
491	302	312
492	303	311
493	304	311
494	304	310
495	305	310
496	305	309
497	306	308
498	307	308
499	307	307
500	308	306
501	308	306
502	309	305
503	309	305
504	310	304
505	311	303
506	311	303
507	312	302
508	312	301
509	313	301
510	314	300
511	314	300
512	315	299
513	315	298
514	316	298
515	317	297
516	317	296
517	318	296
518	319	295
519	319	295
520	320	294
521	320	293
522	321	293
523	322	292
524	322	291
525	323	291
526	323	290
527	324	290
528	325	289
529	325	288
530	326	288
531	326	287
532	327	286
533	328	286
534	328	285
535	329	285
536	329	284
537	330	283
538	331	283
539	331	282
540	332	281
541	332	281
542	333	280
543	334	280
544	334	279
545	335	278
546	336	278
547	336	277
548	337	277
549	337	276
550	338	275
551	339	275
552	339	274
553	340	274
554	341	273
555	341	272
556	342	272
557	343	271
558	343	271
559	344	270
560	344	269
561	345	269
562	346	268
563	346	268
564	347	267
565	348	266
566	348	266
567	349	265
568	349	264
569	350	264
570	351	263
571	351	263
572	352	262
573	352	261
574	353	261
575	354	260
576	354	260
577	355	259
578	356	258
579	356	258
580	357	257
581	357	257
582	358	256
583	359	255
584	359	255
585	360	254
586	360	253
587	361	253
588	362	252
589	362	252
590	363	251
591	363	250
592	364	250
593	365	249
594	365	248
595	366	248
596	367	247
597	367	247
598	368	246
599	369	246
600	369	245
601	370	244
602	371	244
603	371	243
604	372	243
605	372	242
606	373	241
607	374	241
608	374	240
609	375	239
610	375	239
611	376	238
612	376	238
613	377	237
614	378	236
615	378	236
616	379	235
617	380	234
618	380	234
619	381	233
620	381	233
621	382	232
622	383	231
623	383	231
624	384	230
625	384	229
626	385	229
627	385	228
628	386	228
629	387	227
630	387	226
631	388	226
632	389	225
633	389	224
634	390	224
635	390	223
636	391	223
637	392	222
638	392	221
639	393	221
640	394	220
641	394	220
642	395	219
643	395	218
644	396	218
645	396	217
646	397	216
647	398	216
648	398	215
649	399	215
650	399	214
651	400	213
652	401	213
653	401	212
654	402	211
655	402	211
656	403	210
657	404	209
658	404	209
659	405	208
660	405	208
661	406	207
662	407	206
663	407	206
664	408	205
665	409	205
666	409	204
667	410	203
668	410	203
669	411	202
670	412	202
671	412	201
672	413	200
673	413	200
674	414	199
675	415	198
676	415	198
677	416	197
678	416	197
679	417	196
680	418	195
681	418	195
682	419	194
683	419	194
684	420	193
685	421	192
686	421	192
687	422	191
688	423	190
689	423	190
690	424	189
691	424	189
692	425	188
693	426	187
694	426	187
695	427	186
696	427	186
697	428	185
698	429	184
699	429	184
700	430	183
701	430	182
702	431	182
703	432	181
704	432	181
705	433	180
706	433	179
707	434	179
708	435	178
709	435	177
710	436	177
711	436	176
712	437	176
713	438	175
714	438	174
715	439	174
716	439	173
717	440	173
718	441	172
719	441	171
720	442	171
721	443	170
722	443	169
723	444	169
724	444	168
725	445	168
726	446	167
727	446	166
728	447	166
729	447	165
730	448	165
731	449	164
732	449	163
733	450	163
734	450	162
735	451	161
736	452	161
737	452	160
738	453	160
739	454	159
740	454	158
741	455	158
742	455	157
743	456	157
744	456	156
745	457	155
746	458	155
747	458	154
748	459	153
749	459	153
750	460	152
751	461	152
752	461	151
753	462	150
754	462	150
755	463	149
756	464	148
757	464	148
758	465	147
759	465	147
760	466	146
761	467	145
762	467	145
763	468	144
764	469	144
765	469	143
766	470	142
767	470	142
768	471	141
769	471	140
770	472	140
771	473	139
772	473	139
773	474	138
774	474	137
775	475	137
776	476	136
777	476	136
778	477	135
779	477	134
780	478	134
781	479	133
782	479	132
783	480	132
784	480	131
785	481	131
786	482	130
787	482	129
788	483	129
789	484	128
790	484	128
791	485	127
792	485	126
793	486	126
794	486	125
795	487	124
796	488	124
797	488	123
798	489	123
799	489	122
800	490	121
801	491	121
802	491	120
803	492	120
804	493	119
805	493	118
806	494	118
807	495	117
808	495	117
809	496	116
810	496	115
811	497	115
812	498	114
813	498	113
814	499	113
815	499	112
816	500	112
817	501	111
818	501	110
819	502	110
820	502	109
821	503	109
822	504	108
823	504	107
824	505	107
825	506	106
826	506	105
827	507	105
828	507	104
829	508	104
830	509	103
831	509	102
832	510	102
833	510	101
834	511	101
835	512	100
836	512	99
837	513	99
838	513	98
839	514	97
840	515	97
841	515	96
842	516	96
843	516	95
844	517	94
845	518	94
846	518	93
847	519	93
848	519	92
849	520	91
850	521	91
851	521	90
852	522	89
853	522	89
854	523	88
855	523	88
856	524	87
857	525	86
858	525	86
859	526	85
860	526	85
861	527	84
862	528	83
863	528	83
864	529	82
865	530	82
866	530	81
867	531	80
868	531	80
869	532	79
870	533	78
871	533	78
872	534	77
873	534	77
874	535	76
875	536	75
876	536	75
877	537	74
878	537	74
879	538	73
880	539	72
881	539	72
882	540	71
883	540	70
884	541	70
885	541	69
886	542	69
887	543	68
888	543	67
889	544	67
890	545	66
891	545	66
892	546	65
893	546	64
894	547	64
895	548	63
896	548	63
897	549	62
898	549	61
899	550	61
900	551	60
901	551	59
902	552	59
903	552	58
904	553	58
905	554	57
906	554	56
907	555	56
908	555	55
909	556	55
910	557	54
911	557	53
912	558	53
913	558	52
914	559	51
915	560	51
916	560	50
917	561	50
918	561	49
919	562	48
920	563	48
921	563	47
922	564	47
923	564	46
924	565	45
925	566	45
926	566	44
927	567	44
928	567	43
929	568	42
930	568	42
931	569	41
932	570	40
933	570	40
934	571	39
935	571	39
936	572	38
937	572	37
938	573	37
939	574	36
940	574	36
941	575	35
942	576	34
943	576	34
944	577	33
945	578	33
946	578	32
947	579	31
948	579	31
949	580	30
950	581	29
951	581	29
952	582	28
953	582	28
954	583	27
955	584	26
956	584	26
957	585	25
958	585	25
959	586	24
960	587	23
961	587	23
962	588	22
963	589	22
964	589	21
965	590	20
966	590	20
967	591	19
968	592	18
969	592	18
970	593	17
971	593	17
972	594	16
973	595	15
974	595	15
975	596	14
976	596	14
977	597	13
978	598	12
979	598	12
980	599	11
981	599	10
982	600	10
983	601	9
984	601	9
985	602	8
986	603	7
987	603	7
988	604	6
989	604	6
990	605	5
991	606	4
992	606	4
993	607	3
994	607	3
995	608	2
996	609	1
997	609	1
998	610	0
999	610	0
